group_id,primary_class,provider_hint,variant_count,paired_variant_count
aws_amazon_api_gateway_0000,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0001,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0002,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0003,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0004,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0005,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0006,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0007,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0008,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0009,aws_amazon_api_gateway,aws,10,10
aws_amazon_cloudfront_0000,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0001,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0002,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0003,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0004,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0005,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0006,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0007,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0008,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0009,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudwatch_0000,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0001,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0002,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0003,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0004,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0005,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0006,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0007,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0008,aws_amazon_cloudwatch,aws,10,10
aws_amazon_cloudwatch_0009,aws_amazon_cloudwatch,aws,10,10
aws_amazon_dynamodb_0000,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0001,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0002,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0003,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0004,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0005,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0006,aws_amazon_dynamodb,aws,10,10
aws_amazon_dynamodb_0007,aws_amazon_dynamodb,aws,10,10
