group_id,primary_class,provider_hint,variant_count,paired_variant_count
aws_amazon_api_gateway_0000,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0001,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0002,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0003,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0004,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0005,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0006,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0007,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0008,aws_amazon_api_gateway,aws,10,10
aws_amazon_api_gateway_0009,aws_amazon_api_gateway,aws,10,10
aws_amazon_cloudfront_0000,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0001,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0002,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0003,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0004,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0005,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0006,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0007,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0008,aws_amazon_cloudfront,aws,10,10
aws_amazon_cloudfront_0009,aws_amazon_cloudfront,aws,10,10
