output_stem,source,source_image,source_label,split,group_id,object_count
current_current_arch_train_0000,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0000.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0000.txt,train,current_arch_train_0000,7
current_current_arch_train_0001,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0001.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0001.txt,train,current_arch_train_0001,7
current_current_arch_train_0002,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0002.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0002.txt,train,current_arch_train_0002,10
current_current_arch_train_0003,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0003.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0003.txt,train,current_arch_train_0003,7
current_current_arch_train_0004,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0004.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0004.txt,train,current_arch_train_0004,5
current_current_arch_train_0005,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0005.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0005.txt,train,current_arch_train_0005,6
current_current_arch_train_0006,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0006.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0006.txt,train,current_arch_train_0006,5
current_current_arch_train_0007,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0007.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0007.txt,train,current_arch_train_0007,8
current_current_arch_train_0008,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0008.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0008.txt,train,current_arch_train_0008,10
current_current_arch_train_0009,current,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\images\train\current_arch_train_0009.jpg,E:\Tech Challenge IADT - Fase 5 - Hackathon\dataset\hybrid_v2\labels\train\current_arch_train_0009.txt,train,current_arch_train_0009,6
