epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5138,0.83095,1.23615,0.94904,0.61727,0.53612,0.57726,0.4733,0.83074,2.15842,0.99486,5.4e-05,5.4e-05,0.073054
2,57.6586,0.64532,0.90392,0.88611,0.78078,0.75153,0.81537,0.71712,0.68546,1.23363,0.90969,0.00010505,0.00010505,0.0451051
3,85.2411,0.58683,0.84771,0.88067,0.84153,0.75492,0.82824,0.73808,0.63906,1.11057,0.89698,0.00015106,0.00015106,0.0171511
4,114.688,0.5673,0.80798,0.86149,0.84201,0.76748,0.82515,0.73917,0.63095,1.04047,0.89121,0.000173,0.000173,0.000173
5,143.506,0.58182,0.77865,0.86686,0.89456,0.75477,0.82584,0.7484,0.61072,1.01733,0.88365,0.000164,0.000164,0.000164
6,171.769,0.52606,0.72011,0.85692,0.90303,0.75172,0.83337,0.76315,0.59164,0.98265,0.87219,0.000155,0.000155,0.000155
7,197.971,0.51642,0.71098,0.83695,0.91861,0.75932,0.83964,0.76938,0.59134,0.9663,0.87013,0.000146,0.000146,0.000146
8,222.406,0.50816,0.70251,0.84897,0.93254,0.76041,0.84253,0.77614,0.56558,0.95302,0.86044,0.000137,0.000137,0.000137
9,249.821,0.48383,0.66444,0.83685,0.89726,0.78877,0.84839,0.78017,0.55297,0.93333,0.85721,0.000128,0.000128,0.000128
10,278.563,0.50118,0.65927,0.8513,0.93863,0.74893,0.84635,0.77747,0.54763,0.94377,0.85816,0.000119,0.000119,0.000119
11,307.324,0.45966,0.62072,0.83659,0.93814,0.74868,0.8465,0.78019,0.54243,0.94481,0.85594,0.00011,0.00011,0.00011
12,333.664,0.46248,0.63245,0.82547,0.93341,0.75237,0.84678,0.78239,0.54597,0.94796,0.85454,0.000101,0.000101,0.000101
13,359.854,0.44429,0.58626,0.83361,0.89644,0.7733,0.84767,0.7831,0.5385,0.94785,0.85231,9.2e-05,9.2e-05,9.2e-05
14,388.86,0.45865,0.6018,0.82427,0.90004,0.77419,0.84711,0.78358,0.52964,0.93455,0.84947,8.3e-05,8.3e-05,8.3e-05
15,417.29,0.44889,0.59577,0.83114,0.90006,0.77484,0.84297,0.77892,0.5287,0.93019,0.84913,7.4e-05,7.4e-05,7.4e-05
16,447.611,0.43195,0.56593,0.83083,0.89739,0.78866,0.84413,0.77937,0.52212,0.91247,0.84801,6.5e-05,6.5e-05,6.5e-05
17,481.069,0.42056,0.55613,0.82503,0.90223,0.78868,0.84379,0.78109,0.51192,0.89578,0.8464,5.6e-05,5.6e-05,5.6e-05
18,506.909,0.41698,0.55019,0.82138,0.90719,0.78616,0.84484,0.78288,0.50413,0.88283,0.84439,4.7e-05,4.7e-05,4.7e-05
19,534.704,0.42595,0.55918,0.82325,0.90882,0.78532,0.84575,0.7841,0.50178,0.8814,0.8439,3.8e-05,3.8e-05,3.8e-05
20,562.619,0.39883,0.53344,0.81695,0.91315,0.7835,0.84506,0.78261,0.49894,0.88067,0.84316,2.9e-05,2.9e-05,2.9e-05
