epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3934,1.10896,4.23792,0.9632,0.02489,0.47995,0.08758,0.06708,0.81821,4.06549,0.89641,0.000182567,0.000182567,0.000182567
2,59.0021,0.93742,3.00144,0.88142,0.59764,0.47524,0.48193,0.41866,0.6397,2.05828,0.8698,0.000353332,0.000353332,0.000353332
3,85.6182,0.84372,2.13373,0.87107,0.79457,0.51385,0.56064,0.50209,0.58569,1.62412,0.87339,0.000509418,0.000509418,0.000509418
4,111.981,0.77177,1.61592,0.85037,0.71129,0.68822,0.68436,0.61264,0.55246,1.18324,0.85884,0.000489947,0.000489947,0.000489947
5,138.179,0.68963,1.40738,0.84821,0.78424,0.77352,0.75354,0.69916,0.49736,1.07222,0.8518,0.00046793,0.00046793,0.00046793
6,163.761,0.67007,1.25949,0.8386,0.78801,0.74554,0.78231,0.73849,0.46785,0.966,0.84422,0.000445912,0.000445912,0.000445912
7,190.906,0.63523,1.1812,0.82985,0.85929,0.83032,0.78901,0.74695,0.44114,0.90571,0.84072,0.000423894,0.000423894,0.000423894
8,216.241,0.61395,1.11122,0.82404,0.85176,0.82036,0.81667,0.78577,0.42174,0.85828,0.84009,0.000401877,0.000401877,0.000401877
9,244.21,0.59124,1.04841,0.8255,0.9146,0.81544,0.83821,0.81308,0.38849,0.80677,0.83489,0.000379859,0.000379859,0.000379859
10,274.914,0.56572,0.97314,0.82188,0.94428,0.81987,0.85705,0.8292,0.37172,0.76824,0.83518,0.000357842,0.000357842,0.000357842
11,305.954,0.56624,0.94928,0.82374,0.96465,0.80786,0.87282,0.84586,0.40163,0.75528,0.83921,0.000335824,0.000335824,0.000335824
12,338.105,0.51573,0.86307,0.8155,0.92948,0.82684,0.87805,0.84527,0.37489,0.72129,0.83668,0.000313806,0.000313806,0.000313806
13,366.425,0.51176,0.82518,0.81241,0.97932,0.83476,0.8843,0.86507,0.33868,0.68679,0.83471,0.000291789,0.000291789,0.000291789
14,395.84,0.50197,0.79584,0.80954,0.9703,0.82408,0.88642,0.84909,0.40032,0.69979,0.83761,0.000269771,0.000269771,0.000269771
15,425.925,0.49106,0.77082,0.80303,0.97891,0.83335,0.88922,0.86426,0.35615,0.65841,0.83456,0.000247754,0.000247754,0.000247754
16,455.664,0.47697,0.73716,0.8028,0.99036,0.83189,0.89334,0.86711,0.33325,0.64232,0.83261,0.000225736,0.000225736,0.000225736
17,485.487,0.4722,0.72481,0.80826,0.99238,0.82971,0.89681,0.87135,0.34078,0.63939,0.8299,0.000203718,0.000203718,0.000203718
18,514.79,0.46304,0.70643,0.79685,0.98956,0.83197,0.89754,0.87253,0.31592,0.62637,0.82939,0.000181701,0.000181701,0.000181701
19,543.561,0.45101,0.68012,0.80332,0.9759,0.84681,0.89862,0.87683,0.33145,0.62819,0.82996,0.000159683,0.000159683,0.000159683
20,572.389,0.43652,0.67172,0.80288,0.97577,0.85365,0.89977,0.87606,0.311,0.60288,0.82874,0.000137666,0.000137666,0.000137666
21,610.174,0.42981,0.64996,0.79801,0.98101,0.83739,0.89917,0.87419,0.33583,0.61273,0.82933,0.000115648,0.000115648,0.000115648
22,643.616,0.41704,0.63366,0.79959,0.98149,0.84232,0.89934,0.87896,0.30779,0.60013,0.82889,9.36304e-05,9.36304e-05,9.36304e-05
23,679.206,0.40413,0.62856,0.79796,0.9894,0.84402,0.89794,0.87744,0.32591,0.60482,0.82871,7.16128e-05,7.16128e-05,7.16128e-05
24,711.797,0.41268,0.61769,0.79584,0.98907,0.84399,0.8972,0.87813,0.30794,0.59133,0.82842,4.95952e-05,4.95952e-05,4.95952e-05
25,743.882,0.40551,0.61406,0.79203,0.98589,0.84602,0.89735,0.87794,0.31458,0.59169,0.8282,2.75776e-05,2.75776e-05,2.75776e-05
