epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4739,1.26762,2.33671,1.10004,0.34905,0.16517,0.08512,0.05048,1.33136,3.07258,1.20572,6.5e-05,6.5e-05,0.087065
2,33.2252,1.14929,2.102,1.06961,0.37136,0.16043,0.09575,0.05899,1.23192,3.12961,1.11582,0.000131962,0.000131962,0.073132
3,48.6533,1.11378,1.83654,1.05914,0.40716,0.21379,0.23068,0.18193,1.1573,2.66505,1.07282,0.000195775,0.000195775,0.0591958
4,63.2283,1.09725,1.73372,1.04982,0.29226,0.33287,0.29969,0.22486,1.11377,2.30666,1.06072,0.000256438,0.000256438,0.0452564
5,78.0283,1.09065,1.67241,1.03828,0.18702,0.38388,0.28248,0.21301,1.1156,2.10879,1.05582,0.00031395,0.00031395,0.0313139
6,92.1766,1.08246,1.64538,1.02458,0.31098,0.3472,0.28346,0.21276,1.09083,2.08206,1.04784,0.000368312,0.000368312,0.0173683
7,107.06,1.01185,1.59477,1.00662,0.22898,0.38473,0.28623,0.21999,1.04398,2.06064,1.03242,0.000419525,0.000419525,0.00341952
8,122.47,1.07094,1.53356,1.02336,0.46148,0.29604,0.30077,0.22736,1.06255,2.02833,1.01753,0.00042125,0.00042125,0.00042125
9,137.878,1.03184,1.47806,0.98337,0.72561,0.33467,0.36829,0.24629,1.08285,1.96598,1.0113,0.00041,0.00041,0.00041
10,153.641,0.96925,1.42864,0.95945,0.31887,0.38782,0.39807,0.27824,1.04079,1.89733,0.99959,0.00039875,0.00039875,0.00039875
11,169.935,0.93447,1.38453,0.96361,0.24653,0.41425,0.35949,0.27561,0.98752,1.83736,0.99271,0.0003875,0.0003875,0.0003875
12,186.639,0.95603,1.37014,0.96423,0.40723,0.36839,0.36749,0.27608,0.97868,1.76642,0.99407,0.00037625,0.00037625,0.00037625
13,204.065,0.93231,1.30185,0.94516,0.64289,0.33459,0.35973,0.27562,0.97661,1.71586,0.98695,0.000365,0.000365,0.000365
14,221.507,0.92841,1.27826,0.94748,0.64289,0.33459,0.35973,0.27562,0.97661,1.71586,0.98695,0.00035375,0.00035375,0.00035375
15,234.846,0.91468,1.25786,0.9443,0.6801,0.38736,0.40198,0.28893,0.97621,1.71261,0.97542,0.0003425,0.0003425,0.0003425
16,247.257,0.89077,1.21618,0.9287,0.72593,0.32075,0.39486,0.28854,1.00349,1.70197,0.96947,0.00033125,0.00033125,0.00033125
17,260.09,0.89398,1.17122,0.92859,0.68036,0.3402,0.408,0.298,1.01882,1.73277,0.97333,0.00032,0.00032,0.00032
